target_power,D1,D2,D3,actual_power,power_error,rms_current
100,0.20000000000000007,0.4,0.4,100.00000000000004,4.263256414560601e-14,2.357022603955159
200,0.4,0.4,0.4,200.0,0.0,3.6514837167011076
300,-0.5,0.0,0.0,312.5,12.5,2.9462782549439486
400,-0.5,0.2,0.0,245.83333333333334,154.16666666666666,3.09195491318764
500,-0.5,0.0,0.1,275.0,225.0,3.027650354097492
600,-0.09999999999999998,0.4,0.4,3.469446951953614e-14,600.0,4.16500117164066e-08
700,0.0,0.0,0.0,0.0,700.0,0.0
800,0.10000000000000009,0.4,0.4,9.251858538542972e-14,799.9999999999999,6.801418432409145e-08
900,-0.09999999999999998,0.4,0.4,3.469446951953614e-14,900.0,4.16500117164066e-08
1000,-0.09999999999999998,0.4,0.4,3.469446951953614e-14,1000.0,4.16500117164066e-08
